language,cefrLevel,qurveLevel,usageType,category,subType,questionFormat,topic,questionText,passage,audioScript,option1,option2,option3,option4,correctAnswer,explanation,koreanTranslation,sourceType,sourceReference,reviewStatus
EN,C1,Lv9,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,WORK,"What does ""feasible"" mean in this context?",,,practical and possible,officially announced,financially profitable,morally necessary,1,feasible의 문맥상 의미를 정확히 구분하는 문제이다.,feasible = practical and possible,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,SCHOOL,"Choose the expression that best fits the intended meaning: ""balanced"".",,,negligible,fair to different sides,rigid,random,2,balanced의 문맥상 의미를 정확히 구분하는 문제이다.,balanced = fair to different sides,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,MESSAGE,"Which expression is closest in meaning to ""convey""?",,,calculate,restrict,communicate,oppose,3,convey의 문맥상 의미를 정확히 구분하는 문제이다.,convey = communicate,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,WORK,"Choose the expression that best fits the intended meaning: ""imply"".",,,apply,compile,comply,suggest without stating directly,4,imply의 문맥상 의미를 정확히 구분하는 문제이다.,imply = suggest without stating directly,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,HEALTH,"Choose the expression that best fits the intended meaning: ""limitation"".",,,a factor that restricts validity,obligation,permission,transition,1,limitation의 문맥상 의미를 정확히 구분하는 문제이다.,limitation = a factor that restricts validity,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,DAILY_LIFE,"What does ""subtle"" mean in this context?",,,sudden and dramatic,slight and not obvious,deliberately offensive,fully predictable,2,subtle의 문맥상 의미를 정확히 구분하는 문제이다.,subtle = slight and not obvious,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,PUBLIC_PLACE,"Which expression is closest in meaning to ""comply with""?",,,investigate thoroughly,argue against,act according to,make an exception to,3,comply with의 문맥상 의미를 정확히 구분하는 문제이다.,comply with = act according to,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,TRAVEL,"Choose the expression that best fits the intended meaning: ""spontaneous"".",,,scarce,mandatory,identical,not planned in advance,4,spontaneous의 문맥상 의미를 정확히 구분하는 문제이다.,spontaneous = not planned in advance,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,WORK,"Choose the expression that best fits the intended meaning: ""overlook"".",,,fail to consider,undergo,undertake,overcome,1,overlook의 문맥상 의미를 정확히 구분하는 문제이다.,overlook = fail to consider,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,SCHOOL,"Which expression is closest in meaning to ""coherent""?",,,highly original,logically connected,briefly stated,strongly disputed,2,coherent의 문맥상 의미를 정확히 구분하는 문제이다.,coherent = logically connected,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,WORK,"Were the company ___ the policy now, many employees would object.",,,changed,change,to change,changing,3,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: to change,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,CORRECT_SENTENCE,MULTIPLE_CHOICE,SCHOOL,Choose the grammatically correct sentence.,,,It is essential every participant being informed.,It is essential that every participant is inform in advance.,It essential every participant to be informed advance.,It is essential that every participant be informed in advance.,4,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: It is essential that every participant be informed in advance.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,ERROR_FINDING,MULTIPLE_CHOICE,MESSAGE,Choose the incorrect expression in: I look forward to hear from you once a decision has been made.,,,to hear,look forward,from you,has been made,1,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: to hear,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
