language,cefrLevel,qurveLevel,usageType,category,subType,questionFormat,topic,questionText,passage,audioScript,option1,option2,option3,option4,correctAnswer,explanation,koreanTranslation,sourceType,sourceReference,reviewStatus
EN,B1,Lv5,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,DAILY_LIFE,"What does ""prefer"" mean in ""I prefer tea to coffee""?",,,need something immediately,like one thing more than another,make two things equal,try something for the first time,2,prefer는 여러 선택지 중 하나를 다른 것보다 더 좋아한다는 뜻이다.,나는 커피보다 차를 더 좋아한다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,TRANSPORTATION,Choose the best word: The bus was so ___ that we had to stand all the way home.,,,private,crowded,silent,empty,2,서서 가야 할 정도로 사람이 많았다는 문맥이므로 crowded가 알맞다.,버스가 너무 붐벼서 집에 가는 내내 서 있어야 했다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,WORK,"Which word is closest in meaning to ""reply""?",,,prepare,answer,explain,choose,2,reply는 질문이나 메시지 등에 답한다는 의미로 answer와 가장 가깝다.,"reply = 답하다, answer = 대답하다",GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,SHOPPING,Choose the best word: Keep the ___ in case you need to return the item.,,,menu,receipt,schedule,passport,2,상품을 반품할 가능성이 있을 때 보관해야 하는 것은 영수증 receipt이다.,물건을 반품해야 할 경우를 대비해 영수증을 보관하세요.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,WEATHER,"Choose the best word: The weather can change quickly here, so it's a good idea to ___ the forecast.",,,solve,check,carry,borrow,2,날씨 예보를 확인한다는 표현은 check the forecast가 자연스럽다.,이곳은 날씨가 빨리 변할 수 있으므로 일기예보를 확인하는 것이 좋다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,VOCABULARY,WORD_MEANING,MULTIPLE_CHOICE,SCHOOL,"What does ""require"" mean in ""This course requires basic computer skills""?",,,allows something to stop,makes something cheaper,makes something necessary,expects something to disappear,3,require는 어떤 것이 필요하거나 필수라고 요구한다는 뜻이다.,이 과정은 기본적인 컴퓨터 기술을 필요로 한다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,HEALTH,"Choose the best word: After working without a break for hours, I found it difficult to ___.",,,deliver,invite,concentrate,compare,3,오랫동안 쉬지 않고 일해 집중하기 어려웠다는 의미로 concentrate가 적절하다.,몇 시간 동안 쉬지 않고 일한 뒤 집중하기가 어려웠다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,VOCABULARY,SYNONYM,MULTIPLE_CHOICE,TRAVEL,"Which expression is closest in meaning to ""delay""?",,,make something happen twice,make something easier to find,make something happen later,make something more expensive,3,delay는 예정된 일을 늦추거나 늦게 일어나게 한다는 뜻이다.,"delay = 지연시키다, 늦추다",GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,VOCABULARY,VOCABULARY_BLANK,MULTIPLE_CHOICE,FAMILY,"Choose the best word: My grandparents live nearby, so I visit them ___.",,,exactly,hardly,regularly,suddenly,3,가까이 살아 자주 일정하게 방문한다는 문맥에서는 regularly가 자연스럽다.,조부모님이 근처에 사셔서 나는 정기적으로 찾아뵌다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,VOCABULARY,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,PUBLIC_PLACE,Choose the best word: The library has a quiet area where visitors can work without being ___.,,,borrowed,improved,disturbed,accepted,3,조용한 공간에서는 방해받지 않고 일할 수 있다는 의미로 disturbed가 적절하다.,도서관에는 방문객들이 방해받지 않고 일할 수 있는 조용한 공간이 있다.,GENERATED,CEFR-J Vocabulary Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,HOBBY,"Choose the correct form: I ___ play basketball every weekend, but now I usually go swimming.",,,use to,used to,am used to,was using to,2,과거에는 했지만 지금은 하지 않는 습관을 나타낼 때 used to + 동사원형을 사용한다.,나는 예전에는 주말마다 농구를 했지만 지금은 보통 수영을 한다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,GRAMMAR,CORRECT_SENTENCE,MULTIPLE_CHOICE,MESSAGE,Choose the grammatically correct sentence.,,,I've knew her for five years.,I know her since five years.,I've known her for five years.,I knowing her for five years.,3,과거부터 현재까지 이어지는 상태는 현재완료와 for를 사용해 I've known her for five years.라고 한다.,나는 그녀를 5년 동안 알고 지냈다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,GRAMMAR,ERROR_FINDING,MULTIPLE_CHOICE,TRAVEL,Which part is wrong in this sentence? 'We decided going by train because it was cheaper.',,,We,decided,going,because,3,decide 뒤에는 동명사가 아니라 to부정사 to go를 사용한다.,우리는 기차가 더 저렴해서 기차로 가기로 결정했다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,GRAMMAR,SENTENCE_ORDER,MULTIPLE_CHOICE,WORK,Choose the correct sentence order for these words: already / when / left / I / he / arrived,,,He already left when arrived I.,"When I arrived, he had already left.",I when arrived he already has left.,Had he left already I arrived when.,2,"내가 도착하기 전에 이미 떠난 일이므로 과거완료를 사용한 When I arrived, he had already left.가 자연스럽다.",내가 도착했을 때 그는 이미 떠난 뒤였다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,SHOPPING,Choose the correct word: This jacket is ___ expensive for me to buy.,,,enough,too,so much,many,2,구매할 수 없을 정도로 비싸다는 의미에는 too + 형용사를 사용한다.,이 재킷은 내가 사기에는 너무 비싸다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,SCHOOL,"Choose the correct form: If I ___ more time, I would join the photography club.",,,have,had,will have,am having,2,현재 사실과 다른 가정을 나타내는 2형 조건문은 if절에 과거형 had를 사용한다.,시간이 더 있다면 사진 동아리에 가입할 텐데.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,GRAMMAR,CORRECT_SENTENCE,MULTIPLE_CHOICE,DAILY_LIFE,Which sentence is grammatically correct?,,,The woman lives next door who a nurse is.,The woman which lives next door is a nurse.,The woman who lives next door is a nurse.,The woman who she lives next door is a nurse.,3,사람을 선행사로 하는 주격 관계대명사는 who를 사용하며 중복 주어를 쓰지 않는다.,옆집에 사는 여성은 간호사이다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
