level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetExpression,targetMeaning
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「踏まえる」の使い方として最も適切なものを選んでください。,調査結果を踏まえて、今後の方針を決定します。,階段を踏まえて上りました。,昼食を踏まえて食べました。,駅を踏まえて電車に乗りました。,0,踏まえる는 사실이나 결과를 근거로 고려한다는 의미로 사용한다.,踏まえる,근거로 삼다; 고려하다
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「見込む」の使い方として最も適切なものを選んでください。,窓から山を見込みました。,今年は昨年より高い売上が見込まれています。,本を見込んで読みました。,駅を見込んで歩きました。,1,見込む는 미래의 수량이나 가능성을 예상할 때 사용한다.,見込む,예상하다
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「取り組む」の使い方として最も適切なものを選んでください。,荷物を棚に取り組みました。,電車を駅に取り組みました。,会社全体で環境問題に取り組んでいます。,料理を皿に取り組みました。,2,取り組む는 문제나 과제에 적극적으로 임할 때 쓴다.,取り組む,적극적으로 임하다
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「促す」の使い方として最も適切なものを選んでください。,机を窓へ促しました。,雨を傘に促しました。,本を棚に促しました。,医師は患者に十分な休養を取るよう促しました。,3,促す는 상대에게 어떤 행동을 하도록 촉구하거나 권할 때 사용한다.,促す,촉구하다
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「設ける」の使い方として最も適切なものを選んでください。,参加者と話し合う時間を設けました。,時間を駅まで設けました。,雨を空に設けました。,料理を食べて設けました。,0,設ける는 시간·장소·제도 등을 마련할 때 사용한다.,設ける,마련하다
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「省く」の使い方として最も適切なものを選んでください。,説明を大きく省きました。,時間がないので、詳しい説明は省きます。,駅を省いて電車に乗りました。,雨を省いて晴れました。,1,省く는 불필요하거나 생략 가능한 부분을 빼는 뜻이다.,省く,생략하다
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「及ぼす」の使い方として最も適切なものを選んでください。,健康を駅に及ぼしました。,本を机に及ぼしました。,睡眠不足は健康に悪い影響を及ぼします。,昼食を友達に及ぼしました。,2,及ぼす는 영향이나 피해 등을 대상에 미치게 할 때 쓴다.,及ぼす,영향을 미치다
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「伴う」の使い方として最も適切なものを選んでください。,駅に伴って電車を降りました。,本に伴って読みました。,昼食に伴って皿を洗いました。,経済の成長に伴って、生活も変化しました。,3,伴う는 한 변화와 함께 다른 변화가 생기는 관계에 사용한다.,伴う,동반하다
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「応じる」の使い方として最も適切なものを選んでください。,お客様の要望に応じて、内容を変更できます。,駅に応じて電車です。,机に応じて本があります。,雨に応じて昨日でした。,0,応じる는 요구나 상황에 맞추어 대응할 때 사용한다.,応じる,응하다; 대응하다
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「備える」の使い方として最も適切なものを選んでください。,駅に備えて電車を読みます。,地震に備えて、水や食料を準備しています。,本に備えて机を食べます。,雨に備えて昨日を歩きます。,1,備える는 미래의 위험이나 상황에 대비할 때 사용한다.,備える,대비하다
N2,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「損なう」の使い方として最も適切なものを選んでください。,健康を損なって元気になりました。,駅を損なって着きました。,無理な働き方は健康を損なうおそれがあります。,本を損なって読み始めました。,2,損なう는 건강·신뢰·가치 등을 해치는 의미로 쓴다.,損なう,해치다
