level,category,subType,questionFormat,questionText,passageText,choice1,choice2,choice3,choice4,answerIndex,explanation,questionFocus
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者が最も言いたいことは何ですか。,効率化という言葉は、しばしば作業時間を短くすることと同じ意味で使われる。しかし、本来考えるべきなのは、短縮された時間を何に使うかである。単に仕事を詰め込むだけなら、余裕がなくなり、かえって新しい発想が生まれにくくなる。効率化の価値は、時間を減らすことそのものではなく、その時間をより重要な活動へ振り向けられる点にある。,효율화는 모든 작업 시간을 최대한 줄이는 것이다,줄인 시간에 더 많은 업무를 넣어야 한다,효율화로 확보한 시간을 더 중요한 활동에 활용해야 한다,새로운 아이디어는 여유 시간과 관계가 없다,2,필자는 효율화 자체보다 확보된 시간을 더 중요한 활동에 쓰는 것이 핵심이라고 본다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から分かることは何ですか。,ある企業では、社員の出社日数を減らせば満足度が上がると考え、在宅勤務を拡大した。ところが、部署間の情報共有が減ったという声も出た。そこで現在は、単に出社回数を決めるのではなく、仕事の性質に応じて対面と在宅を組み合わせる方針に変えている。,회사는 재택근무를 완전히 폐지했다,출근 횟수만으로 근무 방식을 정하는 것이 충분하지 않다고 판단했다,모든 부서가 매일 출근하게 되었다,재택근무 확대 후 정보 공유가 증가했다,1,회사는 단순 출근 횟수가 아니라 업무 성격에 맞춰 대면과 재택을 조합하는 방향으로 바꾸었다.,세부 정보 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者の考えに最も近いものはどれですか。,専門家の意見は、複雑な問題を理解するうえで重要な手掛かりになる。しかし、専門家の間でも意見が分かれることは珍しくない。だからこそ、『専門家が言っているから正しい』と考えるのではなく、その意見がどのような根拠に基づいているかを見る必要がある。,전문가의 의견은 항상 동일하다,전문가의 말은 근거를 확인하지 않고 믿어도 된다,전문가 의견도 근거를 살펴 판단해야 한다,복잡한 문제에서는 전문가 의견을 듣지 말아야 한다,2,필자는 전문가라는 권위보다 그 의견의 근거를 확인하는 태도가 필요하다고 말한다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この案内で利用者が最も注意すべきことは何ですか。,システム移行に伴い、金曜日午後八時から月曜日午前六時までオンラインサービスを停止します。停止前に入力した内容でも、保存操作が完了していないものは移行されません。また、停止期間中に送信されたメールへの返信は月曜日以降になります。,금요일 오후 8시 이후에도 저장하지 않은 데이터가 자동 이전된다,서비스 중단 전에 필요한 데이터의 저장을 완료해야 한다,중단 기간에는 이메일을 보내면 즉시 답변받는다,월요일 오전 6시 이후에도 서비스는 계속 중단된다,1,저장 완료되지 않은 입력 내용은 이전되지 않으므로 중단 전 저장 완료가 중요하다.,세부 정보 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,なぜ筆者は『失敗を記録すること』が重要だと考えていますか。,成功した方法は共有されやすいが、失敗した方法は忘れられたり、隠されたりしやすい。しかし、同じ失敗を別の人が繰り返せば、組織全体として大きな損失になる。失敗を責めるためではなく、条件や原因を記録して共有することが、次の判断の質を高めるのである。,실패한 사람을 평가하기 위해,성공 사례보다 실패 사례가 재미있어서,같은 실패의 반복을 막고 이후 판단의 질을 높이기 위해,모든 실패를 외부에 공개하기 위해,2,실패 기록은 비난이 아니라 반복 방지와 더 나은 판단을 위한 학습 자료라는 것이 핵심이다.,인물 의도 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章で筆者が問題視していることは何ですか。,数字で示される目標は分かりやすい。一方で、測定しやすい数字だけを追うと、本来の目的が見えなくなることがある。例えば問い合わせ対応時間を短くすることだけを目標にすると、十分な説明をせず電話を終えることが評価されるかもしれない。指標は目的そのものではない。,수치 목표는 전혀 사용할 필요가 없다는 것,측정하기 쉬운 수치가 본래 목적보다 우선될 수 있다는 것,문의 대응은 항상 길게 해야 한다는 것,숫자로 목표를 표시하면 반드시 성과가 낮아진다는 것,1,필자는 지표가 목적을 대체해 수치 자체만 추구하게 되는 문제를 지적한다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から推測できることは何ですか。,新商品の発売日は来週月曜日だったが、最終検査で一部の製品に不具合が見つかった。原因はまだ特定されておらず、会社は『安全性を確認するまで出荷しない』と発表した。,예정대로 월요일에 반드시 출시된다,출시가 연기될 가능성이 높다,불량 원인은 이미 해결되었다,회사는 안전성 확인 없이 출하한다,1,원인이 아직 특정되지 않았고 안전 확인 전 출하하지 않겠다고 했으므로 출시 연기 가능성이 높다.,추론
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者が『余白』を必要だと考える理由は何ですか。,予定を隙間なく入れると、一見時間を有効に使っているように見える。しかし、予想外の仕事が一つ入っただけで、その後の予定がすべて崩れてしまう。何もしない時間は無駄ではなく、変化に対応するための余白として機能することがある。,아무 일도 하지 않는 것이 가장 생산적이기 때문에,예상하지 못한 변화에 대응할 여지를 만들기 때문에,계획을 세울 필요가 없기 때문에,모든 업무를 미루기 위해,1,일정의 여백은 예상 밖의 일이 생겼을 때 전체 계획이 무너지는 것을 줄이는 완충 역할을 한다.,인물 의도 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章の主な内容は何ですか。,新しい制度を導入するとき、説明会を一度開いただけで『周知した』と考えるのは危険だ。聞いた人が内容を理解したか、実際の行動に移せるかまで確認しなければ、制度は形だけのものになりかねない。情報を伝えることと、相手に伝わることは同じではない。,설명회는 한 번만 하면 충분하다,정보를 보내는 것과 상대가 이해해 행동하는 것은 다르다,새 제도는 설명 없이 도입해야 한다,제도는 내용보다 형식이 중요하다,1,필자는 전달 행위 자체와 실제 이해·행동으로 이어지는 것은 다르다고 강조한다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,会社が方針を変更した理由は何ですか。,当初、問い合わせ窓口をすべて自動応答に切り替える計画だった。しかし試験運用では、単純な質問には効果的な一方、複雑な相談では利用者が何度も同じ説明をする必要が生じた。そのため、簡単な問い合わせは自動化し、複雑なものは担当者につなぐ方式に変更した。,자동 응답의 비용이 너무 비싸서,모든 문의에서 자동 응답이 효과가 없어서,문의의 복잡성에 따라 자동화와 사람 대응을 나누는 편이 적절하다고 판단해서,담당자를 모두 없애기 위해,2,시험 결과 단순 문의에는 자동화가 효과적이지만 복잡한 상담에는 사람이 필요하다고 판단했다.,추론
