level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetExpression,targetMeaning
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「確認する」の使い方として最も適切なものを選んでください。,出かける前に、電車の時間を確認しました。,新しい服を確認して着ました。,公園を確認して散歩しました。,昼ご飯を確認して食べました。,0,確認する는 정보나 상태가 맞는지 살펴볼 때 쓴다.,確認する,확인하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「間に合う」の使い方として最も適切なものを選んでください。,この料理は塩に間に合います。,急げば九時の電車に間に合います。,私は日本語に間に合っています。,その箱は机に間に合います。,1,間に合う는 정해진 시간에 늦지 않는다는 뜻이다.,間に合う,시간에 맞다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「断る」の使い方として最も適切なものを選んでください。,窓を断って風を入れました。,道を断って駅へ行きました。,忙しかったので、飲み会の誘いを断りました。,本を断って読みました。,2,断る는 제안이나 부탁을 거절할 때 사용한다.,断る,거절하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「慣れる」の使い方として最も適切なものを選んでください。,雨が慣れて道がぬれました。,駅に慣れて電車を降りました。,料理を慣れて皿に入れました。,日本の生活にだんだん慣れてきました。,3,慣れる는 환경이나 행동에 익숙해질 때 쓴다.,慣れる,익숙해지다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「比べる」の使い方として最も適切なものを選んでください。,二つの商品を比べてから買いました。,窓を比べて閉めました。,薬を比べて飲みました。,駅を比べて降りました。,0,比べる는 둘 이상의 대상을 비교할 때 사용한다.,比べる,비교하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「申し込む」の使い方として最も適切なものを選んでください。,友達に駅を申し込みました。,来月の日本語試験に申し込みました。,雨に傘を申し込みました。,机に本を申し込みました。,1,申し込む는 시험·행사·서비스 등에 신청할 때 쓴다.,申し込む,신청하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「片付ける」の使い方として最も適切なものを選んでください。,電車を片付けて会社へ行きました。,音楽を片付けて聞きました。,食事のあとで、テーブルの上を片付けました。,天気を片付けて晴れました。,2,片付ける는 어질러진 물건이나 장소를 정리할 때 쓴다.,片付ける,정리하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「届く」の使い方として最も適切なものを選んでください。,私は七時に会社を届きました。,友達を駅まで届きました。,ケーキを届いて食べました。,昨日、注文した荷物が家に届きました。,3,届く는 우편물이나 물건 등이 목적지에 도착할 때 쓴다.,届く,도착하다; 배달되다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「続ける」の使い方として最も適切なものを選んでください。,健康のために毎朝の運動を続けています。,駅を続けて電車に乗ります。,窓を続けて開けます。,雨を続けて傘を使います。,0,続ける는 어떤 행동을 중단하지 않고 이어갈 때 쓴다.,続ける,계속하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「増える」の使い方として最も適切なものを選んでください。,私は荷物を増えて運びました。,最近、この町では外国人の観光客が増えています。,先生が宿題を増えてくれました。,この本を増えて読みました。,1,増える는 수량이 자연스럽게 늘어나는 자동사이다.,増える,늘다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「減らす」の使い方として最も適切なものを選んでください。,雨が減らして晴れました。,電車が減らして駅に着きました。,健康のために、甘い物を食べる量を減らしました。,荷物が減らして軽くなりました。,2,減らす는 어떤 양을 의도적으로 줄이는 타동사이다.,減らす,줄이다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「確かめる」の使い方として最も適切なものを選んでください。,コーヒーを確かめて飲みました。,公園を確かめて走りました。,音楽を確かめて歌いました。,ドアに鍵をかけたか、もう一度確かめました。,3,確かめる는 사실이나 상태를 확인할 때 사용한다.,確かめる,확인하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「伝える」の使い方として最も適切なものを選んでください。,会議の時間が変わったことをみんなに伝えました。,荷物を駅まで伝えました。,料理を皿に伝えました。,雨を傘に伝えました。,0,伝える는 정보나 말을 상대에게 알릴 때 쓴다.,伝える,전하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「戻る」の使い方として最も適切なものを選んでください。,昼ご飯を戻って食べました。,忘れ物に気づいて、家に戻りました。,本を戻って読みました。,友達を戻って会いました。,1,戻る는 원래 있던 장소로 돌아갈 때 사용한다.,戻る,돌아가다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「選ぶ」の使い方として最も適切なものを選んでください。,電車を選んで駅に着きました。,風を選んで窓を閉めました。,三つの中から好きな色を一つ選んでください。,雨を選んで傘を差しました。,2,選ぶ는 여러 대상 중 하나를 고를 때 사용한다.,選ぶ,고르다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「相談する」の使い方として最も適切なものを選んでください。,駅を先生に相談しました。,雨を友達に相談しました。,朝ご飯を母に相談しました。,進学について先生に相談しました。,3,相談する는 문제나 계획을 다른 사람과 상의할 때 쓴다.,相談する,상의하다; 상담하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「利用する」の使い方として最も適切なものを選んでください。,旅行では便利な一日乗車券を利用しました。,夕食を利用して食べました。,雨を利用してぬれました。,本を利用して眠りました。,0,利用する는 시설·서비스·수단 등을 유용하게 사용할 때 쓴다.,利用する,이용하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「変更する」の使い方として最も適切なものを選んでください。,料理を変更して食べました。,予定が変わったので、予約の時間を変更しました。,駅を変更して歩きました。,雨を変更して晴れました。,1,変更する는 정해진 내용을 다른 것으로 바꿀 때 사용한다.,変更する,변경하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「参加する」の使い方として最も適切なものを選んでください。,この薬に参加します。,駅に参加して降ります。,来週の会社の研修に参加します。,天気に参加して晴れます。,2,参加する는 행사나 활동 등에 참가할 때 쓴다.,参加する,참가하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「注意する」の使い方として最も適切なものを選んでください。,昼ご飯に注意して食べました。,音楽に注意して歌いました。,机に注意して勉強しました。,夜道を一人で歩くときは車に注意してください。,3,注意する는 위험이나 실수를 피하도록 조심할 대상을 말할 때 쓴다.,注意する,주의하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「決める」の使い方として最も適切なものを選んでください。,旅行の日程を家族と話して決めました。,雨を決めて降らせました。,駅を決めて着きました。,本を決めて読み終わりました。,0,決める는 선택이나 계획을 확정할 때 쓴다.,決める,결정하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「集まる」の使い方として最も適切なものを選んでください。,私は友達を集まりました。,午後三時に駅前にみんなが集まりました。,荷物を集まって送りました。,先生を教室に集まりました。,1,集まる는 사람이나 물건이 한곳에 모이는 자동사이다.,集まる,모이다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「集める」の使い方として最も適切なものを選んでください。,学生が教室に集めました。,人が駅前に集めました。,旅行のためにいろいろな情報を集めています。,雨が雲に集めました。,2,集める는 정보나 물건 등을 의도적으로 모으는 타동사이다.,集める,모으다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「進む」の使い方として最も適切なものを選んでください。,私は荷物を進みました。,先生を教室へ進みました。,料理を進んで作りました。,工事は予定どおり順調に進んでいます。,3,進む는 일이나 움직임이 앞으로 진행되는 자동사이다.,進む,진행되다; 나아가다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「過ぎる」の使い方として最も適切なものを選んでください。,気がついたら、もう十二時を過ぎていました。,私は時計を過ぎました。,友達を過ぎて話しました。,昼ご飯を過ぎて食べました。,0,過ぎる는 기준이 되는 시간이나 장소를 지날 때 쓴다.,過ぎる,지나다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「役に立つ」の使い方として最も適切なものを選んでください。,この雨は駅に役に立ちます。,この辞書は日本語の勉強にとても役に立ちます。,私は会社を役に立ちます。,電車が時間を役に立ちます。,1,役に立つ는 어떤 목적에 유용하다는 뜻이다.,役に立つ,도움이 되다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「気をつける」の使い方として最も適切なものを選んでください。,音楽を気をつけて聞きます。,朝ご飯を気をつけて食べます。,道が凍っているので、転ばないように気をつけてください。,本を気をつけて買います。,2,気をつける는 위험이나 실수를 피하도록 조심한다는 뜻이다.,気をつける,조심하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「見つかる」の使い方として最も適切なものを選んでください。,私は鍵を見つかりました。,友達を駅で見つかりました。,先生が本を見つかりました。,なくした鍵が机の下で見つかりました。,3,見つかる는 잃어버린 것 등이 발견되는 자동사이다.,見つかる,발견되다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「見つける」の使い方として最も適切なものを選んでください。,駅の近くで安いホテルを見つけました。,ホテルが見つけました。,鍵が机で見つけました。,友達が仕事を見つけました私を。,0,見つける는 주체가 어떤 대상을 찾아내는 타동사이다.,見つける,찾아내다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「直る」の使い方として最も適切なものを選んでください。,私は時計を直りました。,壊れていた時計がやっと直りました。,店員が時計を直りました。,時計を店に直りました。,1,直る는 고장이나 문제가 해결되는 자동사이다.,直る,고쳐지다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「直す」の使い方として最も適切なものを選んでください。,間違いが直しました。,時計が自分で直しました。,間違えたところを赤いペンで直しました。,雨が天気を直しました。,2,直す는 잘못이나 고장을 주체가 고치는 타동사이다.,直す,고치다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「迎える」の使い方として最も適切なものを選んでください。,電車を駅に迎えました。,雨を傘で迎えました。,本を図書館へ迎えました。,空港まで友達を迎えに行きました。,3,迎える는 오는 사람을 맞이하거나 마중할 때 사용한다.,迎える,맞이하다; 마중하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「残る」の使い方として最も適切なものを選んでください。,冷蔵庫に昨日のケーキが少し残っています。,私はケーキを残っています。,母を家に残っています。,皿を残って洗いました。,0,残る는 일부가 없어지지 않고 남아 있는 자동사이다.,残る,남다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「残す」の使い方として最も適切なものを選んでください。,ご飯が残しました。,おなかがいっぱいで、ご飯を少し残しました。,私は部屋に残しました。,雨が水を残しました自然に。,1,残す는 일부를 의도적으로 남기는 타동사이다.,残す,남기다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「似合う」の使い方として最も適切なものを選んでください。,田中さんは弟に似合います。,この道は駅に似合います。,その青いシャツは田中さんによく似合っています。,コーヒーは朝に似合います。,2,似合う는 옷·색 등이 사람에게 잘 어울릴 때 쓴다.,似合う,어울리다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「困る」の使い方として最も適切なものを選んでください。,財布を困りました。,駅に困って着きました。,本を困って読みました。,財布をなくして、とても困りました。,3,困る는 문제 때문에 난처한 상태를 나타낸다.,困る,곤란하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「安心する」の使い方として最も適切なものを選んでください。,無事に家に着いたと聞いて安心しました。,家を安心して建てました。,駅に安心を着きました。,雨を安心して降りました。,0,安心する는 걱정이 사라져 마음이 놓이는 상황에 쓴다.,安心する,안심하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「がっかりする」の使い方として最も適切なものを選んでください。,試合をがっかりして見ました。,楽しみにしていた試合が中止になって、がっかりしました。,駅ががっかりして遠いです。,雨をがっかりして傘を買いました。,1,がっかりする는 기대와 달라 실망한 감정을 나타낸다.,がっかりする,실망하다
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「せっかく」の使い方として最も適切なものを選んでください。,せっかく雨だから傘がありません。,せっかく毎朝七時です。,せっかく京都まで来たので、お寺を見に行きましょう。,せっかく駅は近いでしょうか。,2,せっかく는 어렵게 얻은 기회나 수고를 강조할 때 쓴다.,せっかく,모처럼; 애써
N3,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,「とうとう」の使い方として最も適切なものを選んでください。,とうとう毎朝パンを食べます。,とうとう今は三時です。,とうとう机の上に本があります。,長く練習して、とうとう大会で優勝しました。,3,とうとう는 긴 과정 끝에 마침내 결과가 생겼을 때 쓴다.,とうとう,마침내
