level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetGrammar,grammarMeaning
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この薬は、食事の後に飲む（　　　）。,ことになっている,ことにしている,ものになっている,ところになっている,0,규칙이나 정해진 절차를 나타내므로 ～ことになっている가 맞다.,ことになっている,~하도록 정해져 있다
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,私は健康のため、毎朝歩く（　　　）。,ことになっている,ことにしている,ものとしている,ところにしている,1,개인이 정해 지속하는 습관에는 ～ことにしている를 쓴다.,ことにしている,~하기로 하고 있다
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この機械は専門家でない（　　　）操作できない。,うちに,ばかりに,限り,ところで,2,특정 조건 범위 안에서는 불가능하다는 의미에 ～ない限り를 쓴다.,ない限り,~하지 않는 한
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,実際に使ってみない（　　　）、商品の良さは分からない。,ものには,ところには,わけには,ことには,3,어떤 조건이 충족되지 않으면 뒤의 판단이 성립하지 않는 ～ないことには가 맞다.,ないことには,~하지 않고서는
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,忙しい（　　　）、食事をしないわけにはいかない。,からといって,に伴って,に応じて,に限って,0,앞의 이유만으로 뒤 행동이 정당화되지 않음을 나타내는 ～からといって가 맞다.,からといって,~라고 해서
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,一度引き受けた仕事だから、途中でやめる（　　　）。,に違いない,わけにはいかない,にすぎない,ことはない,1,사회적·도덕적 이유로 할 수 없다는 의미에 ～わけにはいかない를 쓴다.,わけにはいかない,~할 수는 없다
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,彼がそんな簡単なミスをする（　　　）。,にすぎない,ことになる,はずがない,ものがある,2,강한 부정 추측에는 ～はずがない가 적절하다.,はずがない,~할 리가 없다
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この結果から考えると、計画を変更する必要がある（　　　）。,にすぎない,にかかわらない,にほかならない,に違いない,3,근거에 따른 강한 확신을 나타내므로 ～に違いない가 맞다.,に違いない,~임에 틀림없다
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,これは私個人の意見（　　　）。,にすぎません,に違いません,に限りません,に伴いません,0,단지 그 정도일 뿐임을 나타내는 ～にすぎない가 맞다.,にすぎない,~에 지나지 않다
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,成功したのは、皆さんの協力の結果（　　　）。,にすぎません,にほかなりません,に限りません,に応じません,1,원인이나 본질을 강하게 특정하는 ～にほかならない가 맞다.,にほかならない,다름 아닌 ~이다
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,年齢（　　　）、誰でも参加できます。,に応じて,に伴って,にかかわらず,に限って,2,연령과 관계없이 참여 가능하므로 ～にかかわらず를 쓴다.,にかかわらず,~에 관계없이
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,経験の有無（　　　）、応募できます。,に従って,に対して,に比べて,にかかわらず,3,경험 유무와 관계없다는 뜻에 ～にかかわらず가 적절하다.,にかかわらず,~에 관계없이
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,能力（　　　）、仕事の内容を決めます。,に応じて,に伴って,に反して,に限って,0,능력에 맞추어 내용이 달라지므로 ～に応じて를 쓴다.,に応じて,~에 따라; ~에 맞추어
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,人口の増加（　　　）、住宅も増えている。,に応じて,に伴って,に反して,に限って,1,한 변화에 수반해 다른 변화가 생기는 ～に伴って가 맞다.,に伴って,~에 따라; ~와 함께
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,時代の変化（　　　）、働き方も変わってきた。,に限り,に反し,に伴い,に対し,2,시대 변화와 함께 근무 방식도 변한다는 의미다.,に伴う,~에 따라; ~와 함께
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,予想（　　　）、売上は大きく伸びた。,に応じて,に伴って,に限って,に反して,3,예상과 반대되는 결과에는 ～に反して를 쓴다.,に反して,~와 반대로
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,兄は活発なの（　　　）、弟は静かな性格だ。,に対して,に伴って,に応じて,に限って,0,두 대상을 대조할 때 ～に対して를 쓴다.,に対して,~에 비해; ~에 대하여
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この製品は以前のもの（　　　）、かなり軽い。,に伴って,に比べて,に応じて,に限って,1,두 대상을 비교하는 문맥이므로 ～に比べて가 맞다.,に比べて,~에 비해
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,説明を聞けば聞く（　　　）、分からなくなった。,だけ,まで,ほど,しか,2,～ば～ほど는 정도가 증가함에 따라 결과도 변함을 나타낸다.,ば～ほど,~하면 할수록
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,練習すればする（　　　）、上手になります。,だけ,しか,まで,ほど,3,연습 정도가 늘수록 실력이 향상된다는 비례 관계다.,ば～ほど,~하면 할수록
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,彼は忙しい（　　　）、私たちを手伝ってくれた。,にもかかわらず,に応じて,に伴って,に限って,0,예상되는 결과와 반대되는 상황에는 ～にもかかわらず를 쓴다.,にもかかわらず,~임에도 불구하고
N2,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,雨（　　　）、多くの人がイベントに参加した。,に伴って,にもかかわらず,に応じて,に比べて,1,비가 왔음에도 많은 사람이 참가했다는 역접 관계다.,にもかかわらず,~임에도 불구하고
