level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetGrammar,grammarMeaning
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,雨が降っているので、今日は学校へ（　　　）。,行きません,行きます,行くです,行ったです,0,비가 오고 있으므로 학교에 가지 않는 흐름이 자연스럽다.,行きません,가지 않습니다
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,毎朝七時に家を（　　　）。,出します,出ます,出ています,出ましたか,1,매일 아침의 습관이므로 비과거형 出ます가 자연스럽다.,出ます,나갑니다
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,昨日、友達と映画を（　　　）。,見ます,見て,見ました,見るです,2,昨日이 있으므로 과거형 見ました가 맞다.,見ました,보았습니다
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この漢字は難しくて、よく（　　　）。,分かります,分かりました,分かるです,分かりません,3,어려워서 잘 모르겠다는 부정 표현이 자연스럽다.,分かりません,모르겠습니다
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,机の上（　　　）本があります。,に,で,を,へ,0,존재 장소에는 조사 に를 쓴다.,に,~에
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,図書館（　　　）本を読みます。,に,で,を,へ,1,행동이 이루어지는 장소에는 で를 쓴다.,で,~에서
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,私は毎日電車（　　　）会社へ行きます。,に,を,で,から,2,교통수단에는 조사 で를 쓴다.,で,~으로
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,日曜日（　　　）友達に会いました。,で,を,へ,に,3,특정한 날을 나타낼 때 に를 쓴다.,に,~에
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,日本語（　　　）手紙を書きました。,で,に,を,と,0,사용한 언어·수단에는 で를 쓴다.,で,~로
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,弟（　　　）一緒に買い物へ行きました。,に,と,で,を,1,함께한 상대에는 조사 と를 쓴다.,と,~와 함께
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,私はりんご（　　　）みかんを買いました。,や,も,と,が,2,두 대상을 모두 열거할 때 と가 적절하다.,と,~와
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,机の上に本（　　　）ノートなどがあります。,と,も,を,や,3,일부 예시를 열거하고 など가 이어지므로 や가 맞다.,や,~나
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この店は安いです。（　　　）、駅から遠いです。,しかし,だから,それで,そして,0,앞뒤 내용이 대조되므로 역접의 しかし가 맞다.,しかし,그러나
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,雨が降りました。（　　　）、試合は中止になりました。,しかし,それで,それから,でも,1,비가 온 결과 경기가 취소되었으므로 결과를 잇는 それで가 맞다.,それで,그래서
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,朝ご飯を食べました。（　　　）、学校へ行きました。,しかし,それで,それから,だから,2,시간 순서상 다음 행동을 잇는 それから가 맞다.,それから,그리고 나서
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この部屋は広いです。（　　　）、とても明るいです。,しかし,それで,だから,そして,3,같은 방향의 정보를 덧붙이므로 そして가 맞다.,そして,그리고
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,明日は試験です。（　　　）、今日は早く寝ます。,だから,しかし,それから,でも,0,시험이 있다는 이유로 일찍 자므로 だから가 맞다.,だから,그러므로
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,時間がありません。（　　　）、急いでください。,しかし,ですから,それから,そして,1,앞문장이 이유이고 뒤가 요청이므로 ですから가 자연스럽다.,ですから,그러므로
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,お金があったら、新しいパソコンを（　　　）。,買ってください,買いました,買いたいです,買うでした,2,조건이 충족되면 사고 싶다는 희망이므로 買いたいです가 맞다.,買いたいです,사고 싶습니다
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,私は日本へ（　　　）です。,行きますたい,行ってたい,行くたい,行きたい,3,동사의 ます형 어간에 たい를 붙여 희망을 나타낸다.,行きたい,가고 싶다
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,今日は疲れたので、何も（　　　）。,したくないです,しますたい,したいです,しませんたい,0,피곤해서 아무것도 하고 싶지 않다는 부정 희망형이 맞다.,したくないです,하고 싶지 않습니다
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,週末は家でゆっくり（　　　）。,休んでたいです,休みたいです,休むたいです,休みますたい,1,休む의 ます형 어간 休み에 たいです를 붙인다.,休みたいです,쉬고 싶습니다
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,窓を（　　　）ください。,開ける,開けた,開けて,開け,2,요청 표현 ください 앞에는 동사 て형이 온다.,開けて,열어
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,ここに名前を（　　　）ください。,書く,書いた,書き,書いて,3,ください 앞에는 書く의 て형 書いて가 맞다.,書いて,써
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,少し（　　　）ください。,待って,待つ,待ち,待った,0,정중한 요청에는 て형 待って를 쓴다.,待って,기다려
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,もう一度（　　　）ください。,説明する,説明して,説明した,説明し,1,ください 앞에는 する의 て형 して가 온다.,説明して,설명해
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,ここで写真を（　　　）もいいですか。,撮る,撮った,撮って,撮り,2,허가를 구하는 ～てもいいですか 앞에는 て형이 온다.,撮って,찍어도
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,このいすに（　　　）もいいです。,座る,座った,座り,座って,3,허가 표현 ～てもいい 앞에는 동사 て형이 온다.,座って,앉아도
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この本を（　　　）もいいですか。,借りて,借りる,借りた,借り,0,～てもいいですか와 결합하려면 て형 借りて가 맞다.,借りて,빌려도
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,今日は早く（　　　）もいいですよ。,帰る,帰って,帰った,帰り,1,허가를 나타내는 ～てもいい 앞에는 帰って가 맞다.,帰って,돌아가도
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,ここでたばこを（　　　）はいけません。,吸う,吸った,吸って,吸い,2,금지 표현 ～てはいけません 앞에는 て형이 온다.,吸って,피워서는
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この部屋に（　　　）はいけません。,入る,入った,入り,入って,3,금지 문형 ～てはいけません에 入って가 연결된다.,入って,들어가서는
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,図書館で大きな声で（　　　）はいけません。,話して,話す,話した,話し,0,금지를 나타내므로 て형 話して가 맞다.,話して,말해서는
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この薬を一度に二つ（　　　）はいけません。,飲む,飲んで,飲んだ,飲み,1,～てはいけません 앞에는 飲む의 て형 飲んで가 온다.,飲んで,먹어서는
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,明日までに宿題を（　　　）なければなりません。,出して,出す,出さ,出した,2,～なければなりません은 동사 ない형의 ない를 뺀 형태에 붙는다.,出さ,내야
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,毎日、薬を（　　　）なければなりません。,飲んで,飲み,飲む,飲ま,3,飲む의 ない형 飲まない에서 ない를 빼고 なければなりません을 붙인다.,飲ま,먹어야
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,七時までに会社へ（　　　）なければなりません。,行か,行って,行き,行く,0,行く의 ない형 行かない에서 行か가 연결된다.,行か,가야
N4,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この申込書に名前を（　　　）なければなりません。,書いて,書か,書き,書く,1,書く의 ない형 書かない를 바탕으로 書かなければなりません이 된다.,書か,써야
